Genres (group),Id,Poster Path,Genres,
Comedy,10013,/8m78d97DqZMxTphGfM86mOPZw1W.jpg,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 18, u'name': u'Drama'}, {u'id': 14, u'name': u'Fantasy'}, {u'id': 10749, u'name': u'Romance'}]",
Comedy,10025,/tqDuLqR91WQYXDiobB8YTJ1ZWWO.jpg,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 18, u'name': u'Drama'}, {u'id': 10751, u'name': u'Family'}, {u'id': 14, u'name': u'Fantasy'}, {u'id': 10749, u'name': u'Romance'}]",
Comedy,10029,/rGZ4bR7dNcAWntnVY5R8kge2IVq.jpg,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 80, u'name': u'Crime'}, {u'id': 53, u'name': u'Thriller'}]",
Comedy,10098,/l2Vouobu5zyFvLajx5ZvnIgXncN.jpg,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 18, u'name': u'Drama'}]",
Comedy,10104,/Q2utGt5ibvu5ojWDWdVix53NiU.jpg,"[{u'id': 35, u'name': u'Comedy'}]",
Comedy,10111,/7meL18vhJ5sWsqqlvDDzwo5Pq5W.jpg,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 10749, u'name': u'Romance'}]",
Comedy,10115,/z2K6GIMSAquOhLlky2YPb4njuFy.jpg,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 18, u'name': u'Drama'}]",
Comedy,10146,/n5C6BGtEH6ThHedhSmXLGp2aINC.jpg,"[{u'id': 35, u'name': u'Comedy'}]",
Comedy,10154,/oJsTBcWZcvcb8rseT2FraKDUo5r.jpg,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 80, u'name': u'Crime'}, {u'id': 10749, u'name': u'Romance'}]",
Comedy,10162,/5rpJUAq2CTRmYUxiWRlrllBsqsx.jpg,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 10749, u'name': u'Romance'}]",
Comedy,10164,/uk1eVRubuiWCE7LCbLjexJrLFoH.jpg,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 18, u'name': u'Drama'}]",
Comedy,10168,/2eaT2OzTNqmyZ7sBKeOaVkDkyek.jpg,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 80, u'name': u'Crime'}]",
Comedy,10172,/nTsCn9D1s1fJEC139JfnMobZB0k.jpg,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 10751, u'name': u'Family'}, {u'id': 18, u'name': u'Drama'}]",
Comedy,10184,/PsJ4XddymZ1RglzPg2wWrgYjb1.jpg,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 10749, u'name': u'Romance'}, {u'id': 18, u'name': u'Drama'}]",
Comedy,10186,/yQfng0iKQVuGDdI5JeoKPINlXuH.jpg,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 10402, u'name': u'Music'}]",
Comedy,10205,/oJwoYFuDj5FpeUjSvxrCBaaJSY1.jpg,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 10769, u'name': u'Foreign'}, {u'id': 27, u'name': u'Horror'}, {u'id': 53, u'name': u'Thriller'}]",
Comedy,10212,/spwvStEA4CraTXPOcONrDzncXOZ.jpg,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 27, u'name': u'Horror'}, {u'id': 53, u'name': u'Thriller'}, {u'id': 37, u'name': u'Western'}]",
Comedy,10227,/usi14aw1qnFN2xl5FaNbpXErS4F.jpg,"[{u'id': 35, u'name': u'Comedy'}]",
Comedy,10246,/yfwbpCll3RBxJmixrZvpc2NaqQY.jpg,"[{u'id': 35, u'name': u'Comedy'}]",
Comedy,10260,/1FvxOmS7ApvZFmUqVdObCN9rPyV.jpg,"[{u'id': 35, u'name': u'Comedy'}]",
Comedy,10276,/fopJnM6MCZilYM6nRpglWdFndt1.jpg,"[{u'id': 35, u'name': u'Comedy'}]",
Comedy,10289,/b26wVt0kimAZQvZJL0440QXejfR.jpg,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 18, u'name': u'Drama'}]",
